#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
4	12:0	8.19	10.6	0.02	
6	14:0	11.90	77.6	0.18	
7	14:1w5	12.19	17.2	0.04	
5	15:0	14.19	19.2	0.04	
1	16:0	16.83	10054.5	23.41	
23	16:1w9	17.15	106.6	0.25	
2	16:1w7	17.34	1086.3	2.53	
8	16:2w6	18.25	46.0	0.11	
22	16:2w4	18.76	79.1	0.18	
9	17:0	19.28	28.1	0.07	
10	17:1w9	19.73	6.5	0.02	
11	17:1w7	19.81	10.0	0.02	
12	17:2w5	20.87	8.4	0.02	
13	18:0	21.97	1115.9	2.60	
14	18:1w9	22.51	11645.2	27.11	
15	18:1w7	22.59	426.8	0.99	
16	18:2w6	23.71	17474.7	40.69	
3	18:3w3	25.13	68.9	0.16	
20	20:0	27.37	42.7	0.10	
21	20:1w9	27.79	16.6	0.04	
19	20:2w9	28.92	43.7	0.10	
17	22:0	32.24	21.4	0.05	
18	23:0	34.61	545.3	1.27	

