#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
1	12:0	8.10	48.8	0.28	
2	14:0	11.87	41.8	0.24	
10	14:1w5	12.20	1.9	0.01	
11	15:0	14.17	10.1	0.06	
3	16:0	16.72	2661.9	15.53	
12	16:1w9	17.12	16.0	0.09	
4	16:1w7	17.29	145.4	0.85	
13	16:2w6	18.24	0.3	0.00	
14	16:2w4	18.77	6.7	0.04	
15	17:0	19.24	7.2	0.04	
16	17:1w9	19.70	2.8	0.02	
17	17:1w7	19.79	2.8	0.02	
21	17:2w5	20.85	1.3	0.01	
5	18:0	21.90	679.7	3.97	
22	18:1w9	22.41	4314.8	25.18	
23	18:1w7	22.46	66.6	0.39	
6	18:2w6	23.60	6344.6	37.02	
7	18:3w3	25.13	513.6	3.00	
8	20:0	27.05	29.4	0.17	
18	20:1w9	27.49	7.6	0.04	
19	20:2w9	28.63	25.9	0.15	
20	22:0	31.97	11.6	0.07	
9	23:0	34.42	2198.6	12.83	

