#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
7	12:0	8.14	8.1	0.02	
1	14:0	11.90	67.1	0.19	
8	14:1w5	12.20	8.8	0.02	
9	15:0	14.21	31.1	0.09	
10	16:0	16.83	7811.9	21.68	
11	16:1w9	17.17	60.5	0.17	
12	16:1w7	17.34	586.5	1.63	
13	16:2w6	18.28	16.9	0.05	
14	16:2w4	18.80	31.6	0.09	
15	17:0	19.29	30.2	0.08	
16	17:1w9	19.74	5.0	0.01	
17	17:1w7	19.83	9.7	0.03	
18	17:2w5	20.90	4.9	0.01	
2	18:0	21.98	1159.7	3.22	
3	18:1w9	22.53	10658.4	29.58	
4	18:1w7	22.60	140.6	0.39	
23	18:2w6	23.71	13556.0	37.62	
5	18:3w3	25.17	174.3	0.48	
19	20:0	27.09	49.4	0.14	
20	20:1w9	27.54	16.1	0.04	
21	20:2w9	28.67	64.2	0.18	
22	22:0	32.03	26.8	0.07	
6	23:0	34.46	1517.8	4.21	
	
