#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
12	12:0	8.16	12.2	0.03	
1	14:0	11.93	135.1	0.28	
13	14:1w5	12.23	1.5	0.00	
2	15:0	14.23	29.8	0.06	
3	16:0	16.89	11941.5	24.40	
4	16:1w9	17.20	48.1	0.10	
5	16:1w7	17.39	1467.6	3.00	
14	16:2w6	18.30	0.2	0.00	
6	16:2w4	18.82	75.8	0.15	
15	17:0	19.31	12.2	0.02	
16	17:1w9	19.77	5.8	0.01	
18	17:1w7	19.85	10.6	0.02	
17	17:2w5	20.92	4.9	0.01	
7	18:0	22.04	1168.4	2.39	
19	18:1w9	22.59	15099.4	30.86	
20	18:1w7	22.66	195.6	0.40	
8	18:2w6	23.77	17122.7	34.99	
9	18:3w3	25.19	180.4	0.37	
10	20:0	27.12	52.3	0.11	
21	20:1w9	27.56	14.5	0.03	
22	20:2w9	28.72	41.4	0.08	
23	22:0	32.06	21.0	0.04	
11	23:0	34.48	1289.9	2.64	

