#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
6	12:0	8.20	24.2	0.07	
1	14:0	11.90	53.8	0.15	
7	14:1w5	12.19	7.7	0.02	
8	15:0	14.19	15.3	0.04	
2	16:0	16.81	8299.7	23.32	
9	16:1w9	17.15	36.9	0.10	
3	16:1w7	17.32	353.4	0.99	
10	16:2w6	18.25	22.7	0.06	
11	16:2w4	18.77	24.0	0.07	
12	17:0	19.27	39.1	0.11	
13	17:1w9	19.72	3.5	0.01	
21	17:1w7	19.80	5.2	0.01	
14	17:2w5	20.87	5.1	0.01	
4	18:0	21.96	1672.7	4.70	
19	18:1w9	22.48	8328.5	23.40	
20	18:1w7	22.57	340.5	0.96	
18	18:2w6	23.69	15328.9	43.07	
5	18:3w3	25.13	229.6	0.65	
15	20:0	27.40	59.5	0.17	
17	20:1w9	27.82	9.8	0.03	
16	20:2w9	28.94	47.4	0.13	
22	22:0	32.29	29.7	0.08	
23	23:0	34.63	654.6	1.84	

