#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
6	12:0	8.20	8.1	0.22	
7	14:0	11.94	11.1	0.31	
8	14:1w5	12.15	0.4	0.01	
23	15:0	14.24	4.0	0.11	
1	16:0	16.74	952.8	26.19	
9	16:1w9	17.17	2.8	0.08	
2	16:1w7	17.34	45.2	1.24	
10	16:2w6	18.22	0.9	0.02	
11	16:2w4	18.74	1.6	0.05	
12	17:0	19.25	1.8	0.05	
13	17:1w9	19.71	0.7	0.02	
14	17:1w7	19.89	3.4	0.09	
15	17:2w5	20.94	0.2	0.01	
3	18:0	21.93	119.3	3.28	
16	18:1w9	22.38	621.3	17.08	
17	18:1w7	22.56	37.9	1.04	
4	18:2w6	23.55	1079.4	29.67	
18	18:3w3	25.18	7.9	0.22	
19	20:0	27.40	6.9	0.19	
20	20:1w9	27.80	1.1	0.03	
21	20:2w9	28.69	16.4	0.45	
22	22:0	32.14	5.4	0.15	
5	23:0	34.44	709.6	19.51	

