#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
8	12:0	8.30	6.0	0.04	
1	14:0	12.00	37.3	0.28	
9	14:1w5	12.28	1.4	0.01	
10	15:0	14.29	3.4	0.03	
2	16:0	16.82	2292.2	17.10	
11	16:1w9	17.22	13.4	0.10	
3	16:1w7	17.39	229.0	1.71	
12	16:2w6	18.33	1.1	0.01	
13	16:2w4	18.85	15.9	0.12	
4	17:0	19.34	36.4	0.27	
14	17:1w9	19.80	0.9	0.01	
15	17:1w7	19.88	5.2	0.04	
16	17:2w5	20.96	3.3	0.02	
5	18:0	21.99	324.9	2.42	
17	18:1w9	22.46	2357.4	17.59	
18	18:1w7	22.53	171.7	1.28	
6	18:2w6	23.66	5014.5	37.42	
7	18:3w3	25.23	546.1	4.07	
23	20:0	27.15	7.6	0.06	
22	20:1w9	27.52	8.9	0.07	
19	20:2w9	28.77	23.0	0.17	
21	22:0	32.13	6.2	0.05	
20	23:0	34.56	2296.7	17.14	

