#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
13	12:0	8.17	7.4	0.02	
1	14:0	11.92	65.8	0.20	
2	14:1w5	12.21	27.0	0.08	
3	15:0	14.22	25.6	0.08	
19	16:0	16.84	7164.4	21.96	
20	16:1w9	17.19	82.1	0.25	
21	16:1w7	17.36	624.2	1.91	
4	16:2w6	18.29	41.8	0.13	
5	16:2w4	18.82	34.1	0.10	
6	17:0	19.31	29.2	0.09	
14	17:1w9	19.77	4.4	0.01	
15	17:1w7	19.85	7.7	0.02	
16	17:2w5	20.93	5.1	0.02	
7	18:0	21.99	908.3	2.78	
22	18:1w9	22.52	8571.0	26.27	
23	18:1w7	22.61	126.0	0.39	
8	18:2w6	23.72	12968.8	39.75	
9	18:3w3	25.19	166.6	0.51	
10	20:0	27.12	34.9	0.11	
17	20:1w9	27.56	11.2	0.03	
11	20:2w9	28.68	115.5	0.35	
18	22:0	32.05	20.9	0.06	
12	23:0	34.48	1580.9	4.85	

